## opening file [/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root]...
## importing ROOT...
## importing ROOT... [DONE]
## opening file [OK]
File:/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root
Size:    79893.689 kb
Nbr Events: 100

================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
       3.164 kb        1.373 kb        0.014 kb        0.000      100  (B) GSFTrackParticles
       3.186 kb        1.379 kb        0.014 kb        0.000      100  (B) AntiKt3PV0TrackJets
       3.218 kb        1.379 kb        0.014 kb        0.000      100  (B) BTagging_AntiKt4EMTopo
       3.207 kb        1.381 kb        0.014 kb        0.000      100  (B) BTagging_AntiKt2Track
       3.370 kb        1.386 kb        0.014 kb        0.000      100  (B) MuonsAuxDyn.CT_EL_Type
       3.370 kb        1.386 kb        0.014 kb        0.000      100  (B) MuonsAuxDyn.CT_ET_Core
       3.044 kb        1.394 kb        0.014 kb        0.000      100  (B) TruthEventsAuxDyn.PDGID1
       3.207 kb        1.396 kb        0.014 kb        0.000      100  (B) BTagging_AntiKt3Track
       3.044 kb        1.396 kb        0.014 kb        0.000      100  (B) TruthEventsAuxDyn.PDGID2
       2.776 kb        1.398 kb        0.014 kb        0.000      100  (B) ElectronsAuxDyn.Tight
       2.798 kb        1.402 kb        0.014 kb        0.000      100  (B) ElectronsAuxDyn.LHTight
       2.798 kb        1.408 kb        0.014 kb        0.000      100  (B) ElectronsAuxDyn.LHLoose
       2.787 kb        1.410 kb        0.014 kb        0.000      100  (B) ElectronsAuxDyn.Medium
       2.809 kb        1.412 kb        0.014 kb        0.000      100  (B) ElectronsAuxDyn.LHMedium
       3.435 kb        1.420 kb        0.014 kb        0.000      100  (B) MuonsAuxDyn.etconeCorrBitset
       3.435 kb        1.420 kb        0.014 kb        0.000      100  (B) MuonsAuxDyn.ptconeCorrBitset
       2.776 kb        1.425 kb        0.014 kb        0.000      100  (B) ElectronsAuxDyn.Loose
       3.456 kb        1.441 kb        0.014 kb        0.000      100  (B) MuonsAuxDyn.CT_ET_LRLikelihood
       3.089 kb        1.444 kb        0.014 kb        0.000      100  (B) PixelMSOSs
       3.467 kb        1.444 kb        0.014 kb        0.000      100  (B) MuonsAuxDyn.FSR_CandidateEnergy
       3.264 kb        1.445 kb        0.014 kb        0.000      100  (B) ElectronsAuxDyn.widths2
       3.359 kb        1.455 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.truthType
       2.841 kb        1.458 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.MultiLepton
       3.121 kb        1.463 kb        0.015 kb        0.000      100  (B) TruthVertices
       3.488 kb        1.464 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.numEnergyLossPerTrack
       3.186 kb        1.466 kb        0.015 kb        0.000      100  (B) InDetTrackParticles
       3.478 kb        1.466 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.topoetconeCorrBitset
       3.478 kb        1.466 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.neflowisolCorrBitset
       5.059 kb        1.469 kb        0.015 kb        0.000      100  (B) EventInfoAuxDyn.streamTagRobs
       3.381 kb        1.472 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.truthOrigin
       2.999 kb        1.475 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.outerOutBoundsPrecisionHits
       2.999 kb        1.475 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.innerOutBoundsPrecisionHits
       3.521 kb        1.481 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.CT_ET_FSRCandidateEnergy
       2.902 kb        1.483 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.isSmallGoodSectors
       3.010 kb        1.483 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.middleOutBoundsPrecisionHits
       3.132 kb        1.484 kb        0.015 kb        0.000      100  (B) TruthParticles
       3.121 kb        1.489 kb        0.015 kb        0.000      100  (B) PixelClusters
       3.031 kb        1.496 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.extendedOutBoundsPrecisionHits
       2.988 kb        1.497 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.extendedClosePrecisionHits
       2.902 kb        1.502 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.isEndcapGoodLayers
       3.307 kb        1.503 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.truthOrigin
       3.360 kb        1.505 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.ptconeCorrBitset
       3.307 kb        1.514 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.isEMLHLoose
       3.285 kb        1.518 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.truthType
       3.360 kb        1.519 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.etconeCorrBitset
